osm_id,mapillary_coverage
3998029,regular
482317922,regular
483309314,regular
483309322,regular
483529937,regular
483700629,regular
484049289,regular
484049291,regular
484049294,regular
484061991,regular
484061993,regular
485007747,regular
485007751,regular
482307730,regular
485685786,regular
487137714,regular
487138403,regular
487390657,regular
487390658,regular
487390670,regular
487390671,regular
487390672,regular
487609111,regular
487709465,regular
487709467,regular
487709468,regular
487709474,regular
486872964,regular
487710238,regular
481672214,regular
481672210,regular
465510398,regular
465510402,regular
466200362,regular
469632869,regular
470848044,regular
470848047,regular
470848048,regular
471557680,regular
473429206,regular
473440563,regular
473654962,regular
477349320,regular
481672211,regular
477469400,regular
478154980,regular
478284669,regular
478284674,regular
478284677,regular
479366167,regular
479366192,regular
479799765,regular
479809161,regular
479809162,regular
481340402,regular
481662798,regular
481672208,regular
477962840,regular
487712792,regular
487712800,regular
487712801,regular
489644484,regular
489644485,regular
489797050,regular
489802875,regular
490509321,regular
490510898,regular
490510899,regular
490515723,regular
490515724,regular
490517943,regular
490517944,regular
490586331,regular
489644483,regular
490651397,regular
490661962,regular
490664013,regular
490678996,regular
491201044,regular
491424824,regular
491672513,regular
491779676,regular
492108678,regular
492108724,regular
492133848,regular
492191624,regular
492196006,regular
490661960,regular
489644475,regular
489644474,regular
489644473,regular
487712802,regular
487712805,regular
487838838,regular
487932309,regular
488100928,regular
488210461,regular
488216252,regular
488243219,regular
488442844,regular
488442848,regular
488442850,regular
488739063,regular
489031532,regular
489141150,regular
489141151,regular
489412183,regular
489412184,regular
489412185,regular
489412186,regular
489412187,regular
489412188,regular
489412191,regular
489412192,regular
489422177,regular
489519588,regular
489519594,regular
489644472,regular
464603294,regular
492838550,regular
464441413,regular
464441410,regular
455486286,regular
455544677,regular
455573844,regular
455573848,regular
455573853,regular
455573855,regular
455702582,regular
455832827,regular
455832828,regular
455832833,regular
456441087,regular
456441088,regular
455314582,regular
456448952,regular
456448969,regular
456448973,regular
456448981,regular
456448986,regular
456448990,regular
456450583,regular
456454510,regular
456454511,regular
456653796,regular
456653798,regular
456662772,regular
456662775,regular
456448953,regular
456662777,regular
455168438,regular
455168436,regular
454363481,regular
454363483,regular
454369520,regular
454369521,regular
454369522,regular
454369523,regular
454369524,regular
454369525,regular
454369526,regular
454700414,regular
454700415,regular
454739820,regular
455168437,regular
454739821,regular
454744835,regular
454851086,regular
454851087,regular
454854874,regular
454932696,regular
454947603,regular
454967330,regular
454967331,regular
454967335,regular
454967338,regular
454967340,regular
455148100,regular
454739823,regular
456662781,regular
456662785,regular
456662790,regular
458570216,regular
458570217,regular
458570218,regular
458579873,regular
458679042,regular
458754882,regular
458759270,regular
458762302,regular
458763370,regular
458767454,regular
458767455,regular
458775311,regular
458570215,regular
460021308,regular
460329846,regular
461442091,regular
461455921,regular
462655657,regular
462742961,regular
463957187,regular
464086439,regular
464086440,regular
464086441,regular
464086449,regular
464086451,regular
464441409,regular
460101787,regular
458355117,regular
458355116,regular
457970107,regular
456662796,regular
456662801,regular
456662807,regular
456662813,regular
456662819,regular
456662826,regular
456662833,regular
456662839,regular
456844589,regular
456844590,regular
456850912,regular
456850913,regular
457081114,regular
457081115,regular
457083257,regular
457083258,regular
457083259,regular
457083260,regular
457970098,regular
457970099,regular
457970100,regular
457970101,regular
457970102,regular
457970103,regular
457970104,regular
457970105,regular
457970106,regular
464441411,regular
493083879,regular
493083881,regular
493494476,regular
518085338,regular
519189515,regular
519726866,regular
520124318,regular
520504456,regular
521311002,regular
521311003,regular
521311004,regular
521311005,regular
